mid,aid
tt0211915,nm0440913
tt0211915,nm0749363
tt0338013,nm0000120
tt0338013,nm0000701
tt0338013,nm0929489
tt0086190,nm0000434
tt0086190,nm0000148
tt0086190,nm0000402
tt5311514,nm1126340
tt5311514,nm4759838
tt5311514,nm6954008
tt0045152,nm0000037
tt0045152,nm0640307
tt0045152,nm0001666
tt1187043,nm0451148
tt1187043,nm0534856
tt1187043,nm1587175
tt0180093,nm0000995
tt0180093,nm0001467
tt0180093,nm0000124
tt0105236,nm0000172
tt0105236,nm0000619
tt0105236,nm0000514
tt0119217,nm0000245
tt0119217,nm0000354
tt0119217,nm0000255
tt4154796,nm0000375
tt4154796,nm0262635
tt4154796,nm0749263
tt0119698,nm0559444
tt0119698,nm0410942
tt0119698,nm0849100
tt0082096,nm0001638
tt0082096,nm0344963
tt0082096,nm0921044
tt0087843,nm0000134
tt0087843,nm0000249
tt0087843,nm0001527
tt0361748,nm0000093
tt0361748,nm1208167
tt0361748,nm0744834
tt2380307,nm5645519
tt2380307,nm0305558
tt2380307,nm0000973
tt0086879,nm0000719
tt0086879,nm0001371
tt0086879,nm0000931
tt0435761,nm0000158
tt0435761,nm0000741
tt0435761,nm0000349
tt0112573,nm0000154
tt0112573,nm0000521
tt0112573,nm0001526
tt0114709,nm0000158
tt0114709,nm0000741
tt0114709,nm0725543
tt7286456,nm0001618
tt7286456,nm0000134
tt7286456,nm5939164
tt0364569,nm0158856
tt0364569,nm0949167
tt0364569,nm1367246
tt0057012,nm0000634
tt0057012,nm0001715
tt0057012,nm0001330
tt4633694,nm4271336
tt4633694,nm2159926
tt4633694,nm2794962
tt0051201,nm0000061
tt0051201,nm0000017
tt0051201,nm0001452
tt0169547,nm0000228
tt0169547,nm0000906
tt0169547,nm0000301
tt0090605,nm0000244
tt0090605,nm0000299
tt0090605,nm0001343
tt4154756,nm0000375
tt4154756,nm1165110
tt4154756,nm0749263
tt1345836,nm0000288
tt1345836,nm0362766
tt1345836,nm0004266
tt0033467,nm0000080
tt0033467,nm0001072
tt0033467,nm0173827
tt0032553,nm0000122
tt0032553,nm0002104
tt0032553,nm0642988
tt0050825,nm0000018
tt0050825,nm0576127
tt0050825,nm0579663
tt0405094,nm0618057
tt0405094,nm0311476
tt0405094,nm0462407
tt1853728,nm0004937
tt1853728,nm0910607
tt1853728,nm0000138
tt0081505,nm0000197
tt0081505,nm0001167
tt0081505,nm0515950
tt0910970,nm0123785
tt0910970,nm2264184
tt0910970,nm0307531
tt0082971,nm0000148
tt0082971,nm0000261
tt0082971,nm0293550
tt0095327,nm0851302
tt0095327,nm0794186
tt0095327,nm0945312
tt0209144,nm0001602
tt0209144,nm0005251
tt0209144,nm0001592
tt0047396,nm0000071
tt0047396,nm0000038
tt0047396,nm0179819
tt0095765,nm0634159
tt0095765,nm0134073
tt0095765,nm0041066
tt0078748,nm0000244
tt0078748,nm0000643
tt0078748,nm0000457
tt0021749,nm0000122
tt0021749,nm0156039
tt0021749,nm5681967
tt0078788,nm0000640
tt0078788,nm0000008
tt0078788,nm0000380
tt0043014,nm0000034
tt0043014,nm0841797
tt0043014,nm0002233
tt0056058,nm0619938
tt0056058,nm0410968
tt0056058,nm0412615
tt0064116,nm0000020
tt0064116,nm0000314
tt0064116,nm0001012
tt1675434,nm0167388
tt1675434,nm1082477
